Name,Geometry,Address
Lim See Tai Chong Soo Kiu Leong Tong,"1.2749623,103.8391373",239 Cantonment Road
Lin Chee Cheng Sia Temple,"1.3611914,103.8803823","14E / F Richards Avenue, 546415-6"
Lin Shan Temple,"1.2900767,103.812894","1 Leng Kee Rd, Singapore 159085"
Ling Ci Xing Gong,"1.3145026,103.8466205",53 Truro Road
Long Quan Yan,"1.3807654,103.8391871",48 Ang Mo Kio Street 61
Long Shan Tang Temple,"1.3163732,103.8553137","9 Tessensohn Rd, Singapore 217647"
Lord Buddha Temple,"1.3258881,103.8896949",24 Arumugam Road
Loyang Tua Pek Kong Temple,"1.3712663,103.9676859",20 Loyang Way
Man Fatt Lam Temple,"1.3266721,103.9480891",211 Bedok Road
Mao Shan Tian Yin Fa Tan Heng Fo Si,"1.3147534,103.8544753",370 Race Course Road
Meow Im Kok Yuen Temple,"1.3458418,103.8675075",9 Jalan Lateh
Monkey God Temple,"1.2838227,103.8343288","44 Eng Hoon St, Singapore 169786"
Nam Ann Siang Theon,"1.3487091,103.8779658",36E Paya Lebar Crescent
Nan Hai Fei Lai Temple,"1.3150186,103.8813545","35 Lor 27 Geylang, Singapore 388170"
Nanyang Sacred Union,"1.2946227,103.8395519",253 River Valley Road
Nanyang Thong Hong Siang Thng Temple,"1.3937534,103.8878473",63 Anchorvale Walk
Nichiren Shoushu Buddhist Association,"1.3147465,103.87745",177 Sims Avenue
North Bridge Road Tua Pek Kong Temple,"1.3060875,103.8614721",861 North Bridge Road
Nyingma Kathok Buddhist Centre,"1.3133329,103.8778728","9 Lor 21 Geylang, Singapore 388456"
Palelai Buddhist Temple,"1.3312905,103.9439707",49 Bedok Walk
Pao Kwan Foh Tang Temple,"1.3517136,103.8346733",21 Shunfu Road
Peng Lai Dian,"1.4611095,103.8093333",26 Admiralty Street
People's Buddhism Study Society,"1.3119436,103.8802205",25 Lorong 22 Geylang
Phang Pheng Mei Temple,"1.3269757,103.8502792",12 Jalan Ampas
Phoh Teck Siang Tng,"1.2758716,103.7769037",106 Pasir Panjang Road
Poh Chung Tian Chor Sian Tong Temple,"1.3320769,103.8538188",201 Toa Payoh Lorong 6
Poh Ern Shin Temple,"1.2792209,103.7864393",9 Chwee Chian Road
Poh Jay Temple,"1.3171845,103.9089251",66 Lorong G Telok Kurau
Poh Ming Tse Temple,"1.3252119,103.8075167",438 Dunearn Road
Poh Teck Siang Tng,"1.3656747,103.893406","109 Hougang Ave 5, S)538817 Tian De Temple, Singapore 538817"
Poh Tiong Kiong Temple,"1.3145674,103.8814552",19 Lor 27 Geylang
Poo Thor Jee Temple,"1.2771437,103.8402389",7 Yan Kit Road
Pu Guan Tang Buddhist Society,"1.3122062,103.8741966",5 Geylang Lor 9
Pu Ti Buddhist Temple,"1.3805727,103.8943701",121C Punggol Road
Pu Ti Lan Ruo,"1.3082894,103.9108368",37 Saint Patrick's Road.
Puat Jit Buddhist Temple,"1.3934484,103.8880453",61 Anchorvale Link
Qi Tian Tan Temple,"1.281465,103.8121233","578 Telok Blangah Rd, Singapore 109024"
Qing De Tang Temple,"1.281465,103.8121233",13 Lorong Ampas
Qing Yun Temple,"1.3528934,103.8779643",20 Hougang Street 11
Qiong Yao Xian Jiao,"1.3115169,103.8800115",10 C Lorong 22 Geylang
Sagaramudra Buddhist Society,"1.3142031,103.8832573",No 5 Lorong 29 Geylang
Sai Ho Piat Su,"1.3548099,103.8765457",777 Upper Serangoon Road
Sakya Muni Buddha Gaya Temple,"1.3147276,103.8547557",366 Race Course Road
Sakya Tenphel Ling Temple,"1.3692246,103.9568387",5 Pasir Ris Drive 4
San Jiang Gong Ci Temple,"1.2814388,103.8123801",96 Depot Road
San Qing Gong,"1.3352778,103.9475335",21 Bedok North Ave 4
Sattha Puchaniyaram Buddhist Temple,"1.3470296,103.7382822",395 Bukit Batok West Avenue 8
See Thian Foh Combined Temple,"1.3400917,103.7550106",557 Bukit Batok Street 23
