Name,Geometry
Lighthouse Evangelism (Tampines),"1.3497222,103.9352778"
Lighthouse Evangelism (Woodlands),"1.4448482,103.7957353"
Lim Ah Pin Church Of Christ,"1.3649795,103.8860142"
Living Hope Methodist Church,"1.3518641,103.9582583"
Living Praise Presbyterian Church,"1.3491527,103.8522892"
Living Sanctuary Brethen Church,"1.3556566,103.8913929"
Living Waters Methodist Church,"1.302298,103.7787982"
Logos Christian Church,"1.3506795,103.878383"
Lutheran Church Of Our Redeemer,"1.3214047,103.8109013"
Mar Thoma Syrian Church In Singapore,"1.3552778,103.8317002"
Maranatha Bible Presbyterian Church,"1.387345,103.9791198"
Maranatha Seventh-day Adventist Church,"1.3091438,103.8973932"
Marine Parade Christian Centre,"1.3117479,103.9017667"
Methodist Church of the Incarnation,"1.3794703,103.7514908"
Moriah Bible-Presbyterian Church,"1.3435328,103.9552403"
Morning Star Church,"1.3435325,103.9224082"
Moulmein Church of Christ,"1.3185894,103.8465949"
Mount Calvary Baptist Church,"1.3178297,103.8790612"
Mount Carmel Bp Church,"1.3027398,103.7635799"
Mount Gerizim Bible Presbyterian Church,"1.3943735,103.741752"
Mount Horeb Bible-Presbyterian Mission,"1.3943911,103.7421369"
MWS Christalite Methodist Home,"1.4411664,103.7734048"
My Savior's Church,"1.2922263,103.8215118"
Nativity Church Centre,"1.3661795,103.8901523"
Nazareth Bible-Presbyterian Church,"1.2907418,103.7722221"
Neighbourhood Church,"1.3440995,103.8611872"
New Beginnings Church,"1.3009574,103.7021344"
New Creation Church,"1.3028648,103.8379819"
New Destiny Fellowship Int'l (Filipino Congregation),"1.3294447,103.8734026"
New Life Baptist Church,"1.3365734,103.7198983"
New Life Bible-Presbyterian Church,"1.4448297,103.7751441"
New Life Community Church,"1.3152832,103.8778113"
New Life Vineyard,"1.3150701,103.7069296"
New Testament Baptist Church,"1.3621223,103.8847421"
Newton Life Church,"1.314009,103.8386904"
Norwegian Seamen's Mission,"1.2874814,103.7779269"
Oikos Christian Church,"1.344143,103.8613414"
Orchard Road Presbyterian Church,"1.2980124,103.8452165"
Parish of Christ Church,"1.3119604,103.8457343"
Pasir Panjang Christ Church,"1.2873836,103.7772134"
Pasir Panjang Church of Christ,"1.2892964,103.7738203"
Pasir Panjang Hill Brethren Church,"1.2804556,103.7835385"
Paya Lebar Chinese Methodist Church,"1.335467,103.8614495"
Paya Lebar Methodist Church,"1.3526474,103.8735331"
Pearly Gates Evangelical Free Church,"1.2825143,103.8182683"
Pentecost Methodist Church,"1.3711274,103.9551895"
Pentecostal Church Of Singapore,"1.3278886,103.8442099"
Pentecostal Missionary Church of Christ,"1.3260736,103.8537959"
Petra Church,"1.2935864,103.8465103"
Philadelphia Bible Presbyterian Church,"1.3274282,103.7514382"
Pilgrim Covenant Church,"1.2814754,103.8190133"
Praise & Prayer Revival Centre,"1.3763555,103.769686"
Praise Evangelical Church,"1.4421254,103.8241017"
Prinsep Street Presbyterian Church,"1.3017224,103.8488606"
Providence Presbyterian Church,"1.2973129,103.7736048"
Queenstown Baptist Church,"1.297222,103.8064358"
Queenstown Chinese Methodist Church,"1.3027527,103.7951307"
Queenstown Lutheran Church,"1.3062757,103.7970238"
Reformed Bible Presbyterian Church,"1.3250273,103.8923547"
Renewal Christian Church (Jurong),"1.3365442,103.7198964"
Renewal Christian Church (St Francis Road),"1.3367202,103.6520441"
Revival Centre Church,"1.3191574,103.844163"
River Community Church,"1.324749,103.889079"
River of Life Community Church,"1.4189677,103.9062969"
RiverLife Church,"1.378251,103.9555083"
Rivers of Life Church,"1.2817245,103.8186876"
S-Word Evangelical Free Church,"1.341207,103.7187443"
Saint Matthew's Church,"1.2833124,103.8322623"
Salem Chapel,"1.3783606,103.8299611"
Seletar Tamil Methodist Church,"1.3874576,103.9791437"
Sembawang Baptist Church,"1.3772669,103.8258899"
Sembawang Bible Presbyterian Church,"1.3816004,103.8277212"
Sembawang Christian Grace Church Ltd,"1.4265184,103.8237233"
Sembawang Presbyterian Church,"1.4413219,103.8234677"
Sembawang Tamil Methodist Church,"1.4237285,103.8253296"
Sengkang Methodist Church,"1.3920895,103.8842963"
Seventh-day Adventist Chinese Church (Thomson),"1.3216736,103.8391044"
Shalom Baptist Chapel,"1.3725804,103.7084163"
Shalom Church Singapore,"1.3158134,103.8032235"
Sharon Bible-Presbyterian Church,"1.3157225,103.8360545"
Shekinah Foursquare Church Singapore,"1.2872756,103.8454297"
Shelter Baptist Church,"1.359314,103.8318007"
Singapore Baptist Church,"1.3133358,103.8443551"
Singapore Bible Baptist Church,"1.2901856,103.7717478"
Singapore Charismatic Church,"1.3104572,103.8711791"
Singapore Christian Canaan Church,"1.3244158,103.8613085"
Singapore Gospel Halls,"1.3749355,103.8350955"
Singapore Japanese Christian Fellowship,"1.3048164,103.8129643"
Singapore Life Church,"1.302341,103.8497679"
Singapore Thomson Road Baptist Church,"1.3151651,103.8425795"
Sisters Of The Infant Jesus Church,"1.3587932,103.7244571"
Smyrna Assembly of God,"1.4311794,103.830832"
Spiritual Grace Presbyterian Church,"1.4057564,103.8179863"
St Andrew's Cathedral,"1.2923968,103.8500656"
St Andrew's Chapel,"1.4546996,103.7607341"
St Andrew's Community Chapel,"1.3415418,103.9467747"
St Anne's Church,"1.3916549,103.8995311"
St George's Church,"1.3048164,103.8129643"
St Hilda's Church,"1.3066503,103.8995681"
St John's Chapel,"1.3193965,103.8072803"
St Joseph's Church (Victoria Street),"1.2983949,103.850863"
St Paul's Church,"1.3583037,103.8801842"
St Peter's Church,"1.3669494,103.8595927"
St. James' Church,"1.3085866,103.7885815"
St. John's - St. Margaret's Church (Anglican),"1.306707,103.7801113"
St. John's Chapel,"1.3193965,103.8072803"
St. Joseph Church (Bukit Timah),"1.3676744,103.7648758"
Tabernacle Baptist Church,"1.3575559,103.8751253"
Tabernacle Bible-Presbyterian Church,"1.3150701,103.7069315"
Tabernacle Christ Fellowship - Singapore,"1.3439481,103.8435409"
Tabernacle of Christ,"1.4312641,103.8309238"
Tabernacle Of Holiness,"1.3149517,103.8819097"
Tabernacle of Joy,"1.2808594,103.8180643"
Tai Seng Christian Church,"1.3592083,103.8721127"
Tamil Methodist Church,"1.2863203,103.814333"
Telok Ayer Chinese Methodist Church (Telok Ayer),"1.2692926,103.7969011"
Telok Ayer Chinese Methodist Church (Wishart Road),"1.2692444,103.8122221"
The ‘Fisherman of Christ’ Fellowship,"1.3127014,103.8833192"
"The Bible Church, Singapore","1.3026416,103.7635621"
The Charis Tabernacle Church,"1.3133349,103.8915122"
The Church In Singapore,"1.3058708,103.7889393"
The Crossing Church,"1.3106597,103.8615675"
The Free Christian Church Of Singapore,"1.3158786,103.879297"
The Methodist Church In Singapore,"1.3189546,103.8170039"
The People's Bible Church,"1.3507014,103.8782735"
The Peoples Presbyterian Church,"1.3285271,103.8681024"
The Presbyterian,"1.3034351,103.8437796"
The Salvation Army Church Balestier Rd,"1.3195009,103.8518337"
The Way Church Ltd,"1.3144109,103.8822738"
Toa Payoh Methodist Church,"1.3339385,103.8442838"
Toong Chai Presbyterian Church,"1.3068784,103.9008162"
Trinity Methodist Church,"1.3639603,103.8673562"
True Grace Presbyterian Church,"1.3822594,103.8409113"
True Jesus Church (Adam Road),"1.3265405,103.8110601"
True Jesus Church (Sembawang),"1.4344545,103.8004145"
True Jesus Church (Serangoon),"1.3768335,103.8732432"
True Jesus Church (Telok Kurau),"1.315481,103.9054614"
True Way Presbyterian Church,"1.2936804,103.8036185"
Truth Bible-Presbyterian Church,"1.321063,103.7439947"
Victory Family Centre (Choa Chu Kang),"1.3777586,103.738303"
Victory Family Centre (Jurong West),"1.3492362,103.696548"
Victory Family Centre (Palm Grove),"1.3612768,103.8766787"
Victory Family Centre (Sembawang Drive),"1.454704,103.8125787"
Victory Family Centre (Toa Payoh),"1.3332096,103.8511465"
Wesley Methodist Church,"1.29735,103.8124281"
Westside Anglican Church,"1.3308042,103.7359609"
Woodlands Evangelical Free Church,"1.4395439,103.7895986"
World Revival Prayer Fellowship,"1.3144244,103.8828863"
Yio Chu Kang Chapel,"1.368017,103.8740357"
Yishun Christian Church (Anglican),"1.4300291,103.8280416"
Yishun Methodist Mission,"1.4374513,103.8400167"
Zion Bishan Bible-Presbyterian Church,"1.3472131,103.8525619"
Zion Full Gospel Church,"1.2973574,103.8279879"
Zion Gospel Mission,"1.3115702,103.8616992"
Zion Living Streams Community Church,"1.3756415,103.8740607"
Zion Presbyterian Church,"1.3361386,103.9365999"
Zion Serangoon Bible-Presbyterian Church,"1.3667461,103.8599749"
